filename,pred_class,pred_probabilities,roi_Frontal_Pole,roi_Insular_Cortex,roi_Superior_Frontal_Gyrus,roi_Middle_Frontal_Gyrus,roi_Inferior_Frontal_Gyrus_pars_triangularis,roi_Inferior_Frontal_Gyrus_pars_opercularis,roi_Precentral_Gyrus,roi_Temporal_Pole,roi_Superior_Temporal_Gyrus_anterior_division,roi_Brain-Stem,roi_Hippocampus,roi_Amygdala,roi_Accumbens
0,0,"[[0.8934962153434753, 0.10650379210710526]]",0.34799787402153015,0.005110801663249731,0.9984772801399231,0.14638085663318634,0.17959801852703094,0.7744017839431763,0.38944652676582336,0.7565308213233948,0.13597643375396729,0.9902113080024719,0.9903856515884399,0.9613702297210693,0.6398633122444153
1,0,"[[0.8967996835708618, 0.1032002866268158]]",0.39735767245292664,0.005393308587372303,0.9964924454689026,0.1863524317741394,0.15785916149616241,0.8495170474052429,0.2997359037399292,0.6932635307312012,0.16020730137825012,0.992038369178772,0.9807223677635193,0.9598532915115356,0.5747433304786682
2,0,"[[0.9945396780967712, 0.005460312590003014]]",0.5262156128883362,0.005442706402391195,0.9972426891326904,0.13897836208343506,0.11778690665960312,0.8117207288742065,0.3120787739753723,0.6136986613273621,0.22707980871200562,0.9899798631668091,0.9691270589828491,0.945086658000946,0.5206375122070312
3,1,"[[0.12290074676275253, 0.8770992755889893]]",0.24759875237941742,0.025683030486106873,0.9975447058677673,0.19487382471561432,0.245835080742836,0.7131093740463257,0.4490143358707428,0.6307904124259949,0.20770782232284546,0.9866042733192444,0.9936680197715759,0.933975875377655,0.6488547325134277
4,0,"[[0.9997218251228333, 0.00027814178611151874]]",0.36592912673950195,0.0025329177733510733,0.9972980618476868,0.17003116011619568,0.12510782480239868,0.8335022330284119,0.31927621364593506,0.8195013403892517,0.12270200252532959,0.9930170774459839,0.9797979593276978,0.9625290036201477,0.5782325267791748
5,0,"[[0.9901949763298035, 0.00980497244745493]]",0.3189750015735626,0.0026688131038099527,0.9977816939353943,0.1317744106054306,0.1910972148180008,0.8430392146110535,0.2745869755744934,0.7124546766281128,0.13763613998889923,0.9942518472671509,0.9818321466445923,0.9689239263534546,0.6442703008651733
6,0,"[[0.9842713475227356, 0.0157286636531353]]",0.4371328353881836,0.004813382867723703,0.9980888962745667,0.16132058203220367,0.11343422532081604,0.828241765499115,0.39321956038475037,0.7444746494293213,0.18254894018173218,0.9904571175575256,0.9829447865486145,0.9500234127044678,0.5202277898788452
7,0,"[[0.6995415091514587, 0.30045849084854126]]",0.3315955400466919,0.011410471983253956,0.9970629811286926,0.1860227733850479,0.17816974222660065,0.8354119658470154,0.42129167914390564,0.7078096866607666,0.19558745622634888,0.989832878112793,0.9885796904563904,0.9403548836708069,0.5962256789207458
8,0,"[[0.9984605312347412, 0.0015394958900287747]]",0.3906325399875641,0.0021213050931692123,0.9978908896446228,0.1430322825908661,0.13159765303134918,0.8460172414779663,0.3356757164001465,0.7828398942947388,0.1311958134174347,0.9946832060813904,0.9772329926490784,0.9625474810600281,0.5968303680419922
9,1,"[[0.06632126867771149, 0.9336787462234497]]",0.33443623781204224,0.006745887454599142,0.9968084692955017,0.15867039561271667,0.16550391912460327,0.8006870746612549,0.39472368359565735,0.7073460817337036,0.20367848873138428,0.9907384514808655,0.9785889983177185,0.9569361209869385,0.5475078225135803
10,0,"[[0.8817667961120605, 0.11823318153619766]]",0.3063182234764099,0.009153918363153934,0.9956713914871216,0.1890169233083725,0.16566117107868195,0.8041907548904419,0.41159704327583313,0.7366430759429932,0.18047021329402924,0.9901027679443359,0.9788132905960083,0.9429344534873962,0.6482540965080261
11,0,"[[0.9274230003356934, 0.07257693260908127]]",0.4497905373573303,0.006765644997358322,0.996468186378479,0.18769636750221252,0.14102277159690857,0.7812837362289429,0.3907279968261719,0.7030900716781616,0.18729515373706818,0.9880935549736023,0.9838252067565918,0.9476819038391113,0.5060896873474121
12,1,"[[0.009471271187067032, 0.9905287623405457]]",0.36201372742652893,0.008059654384851456,0.9973113536834717,0.16317731142044067,0.19951564073562622,0.7636609673500061,0.4917096495628357,0.6722472906112671,0.1929033100605011,0.9850425124168396,0.9809091091156006,0.9414067268371582,0.6558342576026917
13,0,"[[0.995197594165802, 0.004802424926310778]]",0.4951549470424652,0.0040192068554461,0.9967145919799805,0.17075511813163757,0.11190053075551987,0.8656892776489258,0.3111700117588043,0.7080045342445374,0.1697617620229721,0.9915891289710999,0.9761031270027161,0.9605244994163513,0.4682120978832245
14,0,"[[0.8964712023735046, 0.10352878272533417]]",0.4873833954334259,0.005224063992500305,0.9971741437911987,0.13473908603191376,0.13483013212680817,0.8133827447891235,0.3538687229156494,0.650148332118988,0.20064696669578552,0.9875661134719849,0.9788789749145508,0.9477320909500122,0.5538108944892883
15,0,"[[0.9774160981178284, 0.022583970800042152]]",0.2984694242477417,0.0029953098855912685,0.9976546764373779,0.14606818556785583,0.15729747712612152,0.8398301601409912,0.2789500057697296,0.7490222454071045,0.15250611305236816,0.995484471321106,0.9756149053573608,0.9665781259536743,0.6700589656829834
16,0,"[[0.9778908491134644, 0.022109169512987137]]",0.34761911630630493,0.007635063957422972,0.9943927526473999,0.13371212780475616,0.17315125465393066,0.6817678809165955,0.26769405603408813,0.5180047750473022,0.2448311299085617,0.9861508011817932,0.9735828638076782,0.9463855028152466,0.6671250462532043
17,0,"[[0.9930201172828674, 0.006979882717132568]]",0.31230834126472473,0.009545305743813515,0.9971339702606201,0.1324526071548462,0.15162186324596405,0.7246442437171936,0.34265202283859253,0.6249984502792358,0.30545365810394287,0.9926198124885559,0.9727509021759033,0.9464153051376343,0.7140045166015625
18,0,"[[0.9432467222213745, 0.056753311306238174]]",0.39260661602020264,0.005975476466119289,0.9965088963508606,0.14507322013378143,0.15791992843151093,0.8023391366004944,0.31164735555648804,0.6383775472640991,0.29479873180389404,0.9923973679542542,0.9658528566360474,0.9442246556282043,0.6508504748344421
19,1,"[[0.3743595778942108, 0.6256403923034668]]",0.3614036738872528,0.010639764368534088,0.9974822402000427,0.21326591074466705,0.1404469609260559,0.7389910817146301,0.42331987619400024,0.6580632925033569,0.18627256155014038,0.991612434387207,0.9898521304130554,0.9466084241867065,0.5803011059761047
20,0,"[[0.9891541600227356, 0.010845865122973919]]",0.31597650051116943,0.0121460547670722,0.9958953857421875,0.15323230624198914,0.1713619828224182,0.652769923210144,0.4518381357192993,0.6529629230499268,0.2524074614048004,0.9872086644172668,0.9711139798164368,0.9377976059913635,0.6895504593849182
21,0,"[[0.9990334510803223, 0.000966576102655381]]",0.4001426100730896,0.0023648084606975317,0.9979384541511536,0.14047478139400482,0.13091060519218445,0.8629747033119202,0.28626570105552673,0.7619174718856812,0.13494205474853516,0.9945922493934631,0.9805419445037842,0.9671280980110168,0.5369933843612671
22,0,"[[0.8557270765304565, 0.14427290856838226]]",0.2803660035133362,0.003971470054239035,0.9964535236358643,0.1685725450515747,0.1910771280527115,0.8508961200714111,0.31537866592407227,0.7586118578910828,0.1697142869234085,0.994783341884613,0.9749480485916138,0.9603186249732971,0.6796947121620178
23,0,"[[0.999874472618103, 0.00012545206118375063]]",0.36295294761657715,0.0028122933581471443,0.9969979524612427,0.1564231663942337,0.15732301771640778,0.8602458238601685,0.2643570899963379,0.7600972652435303,0.1488581895828247,0.9936349391937256,0.9765433669090271,0.9672064781188965,0.5885858535766602
24,0,"[[0.9373592734336853, 0.06264075636863708]]",0.3769433796405792,0.003716736799106002,0.9979871511459351,0.18036997318267822,0.11084762960672379,0.830649197101593,0.40992578864097595,0.8177520036697388,0.13550907373428345,0.993444561958313,0.9842242002487183,0.9610075354576111,0.5148718357086182
25,1,"[[0.03330312669277191, 0.9666969180107117]]",0.3945346772670746,0.014999269507825375,0.9963058233261108,0.1627156287431717,0.18777574598789215,0.7274832725524902,0.49002861976623535,0.668153703212738,0.2560974359512329,0.9787325263023376,0.984210729598999,0.9408548474311829,0.5571193099021912
26,0,"[[0.9878730773925781, 0.01212695986032486]]",0.4230422377586365,0.004813808016479015,0.9969238638877869,0.18670903146266937,0.1288824826478958,0.8239765167236328,0.38296452164649963,0.7784411311149597,0.1442887932062149,0.9907568097114563,0.9817624092102051,0.9536017775535583,0.5151470303535461
27,0,"[[0.9975993037223816, 0.002400653902441263]]",0.3953496813774109,0.003037514630705118,0.9968990087509155,0.15292853116989136,0.14223383367061615,0.8244374990463257,0.2974230945110321,0.7526305913925171,0.141671821475029,0.9945553541183472,0.970341145992279,0.9633191227912903,0.5659623742103577
28,0,"[[0.9900381565093994, 0.009961900301277637]]",0.4800781011581421,0.005018146708607674,0.9962674975395203,0.17629291117191315,0.12162936478853226,0.8317292332649231,0.3587148189544678,0.7731631994247437,0.1615719050168991,0.9890507459640503,0.9782910346984863,0.9498649835586548,0.47274282574653625
29,1,"[[0.49750980734825134, 0.502490222454071]]",0.44220665097236633,0.008461073972284794,0.9970018267631531,0.16145578026771545,0.1396450698375702,0.8109556436538696,0.39538130164146423,0.6698448061943054,0.28039082884788513,0.9878005981445312,0.9798279404640198,0.9494388103485107,0.594020664691925
30,0,"[[0.629770815372467, 0.3702291250228882]]",0.26756420731544495,0.011617866344749928,0.9983939528465271,0.1306522786617279,0.1845395863056183,0.7202123999595642,0.4548392593860626,0.7123337984085083,0.18497438728809357,0.9886147975921631,0.9922733902931213,0.9535291790962219,0.6697869300842285
31,1,"[[0.17511865496635437, 0.824881374835968]]",0.43802398443222046,0.015292654745280743,0.9974268078804016,0.1472388654947281,0.14485876262187958,0.6624037027359009,0.5860686302185059,0.6557980179786682,0.2581121325492859,0.9782892465591431,0.9805712103843689,0.9086765050888062,0.5982729196548462
